price,location,furnishingLevel,bedrooms,bathrooms,parking
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Cheras,Fully Furnished,3,2,1
280000,Cheras,Fully Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,1,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Partly Furnished,3,1,1
280000,Cheras,Partly Furnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Cheras,Unfurnished,3,2,1
280000,Desa Petaling,Fully Furnished,3,2,1
280000,Desa Petaling,Fully Furnished,3,2,1
280000,Desa Petaling,Partly Furnished,3,2,1
280000,Desa Petaling,Partly Furnished,3,2,1
280000,Desa Petaling,Partly Furnished,3,2,1
280000,Desa Petaling,Partly Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Fully Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Fully Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
280000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
280000,Jalan Kuching,Partly Furnished,3,2,1
280000,Jalan Kuching,Partly Furnished,3,2,1
280000,Jalan Kuching,Partly Furnished,3,2,1
280000,Jalan Kuching,Partly Furnished,3,2,1
280000,Jalan Kuching,Unfurnished,3,2,1
280000,Jalan Kuching,Unfurnished,3,2,1
280000,Jalan Kuching,Unfurnished,3,2,1
280000,Jalan Kuching,Unfurnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Partly Furnished,3,2,1
280000,Kepong,Unfurnished,3,2,1
280000,Kepong,Unfurnished,3,2,1
280000,Kuchai Lama,Partly Furnished,3,1,1
280000,Kuchai Lama,Partly Furnished,3,1,1
280000,Kuchai Lama,Partly Furnished,3,2,1
280000,Kuchai Lama,Partly Furnished,3,2,1
280000,Kuchai Lama,Fully Furnished,4,1,1
